Temperature (°C),Pressure (psi),Vibration (g),Oil Quality (%),Flight Hours,Ambient Temp (°C),Altitude (ft),Last Service Cycles,Failure Probability
655.15,307.59,0.135,92.9,623,21.3,5232,65,0.6243
672.31,296.56,0.373,78.7,1972,13.0,7993,318,0.8476
626.9,282.77,0.451,69.2,3104,32.0,9916,46,0.8819
639.3,300.91,0.218,91.2,627,4.8,7474,472,0.7095
637.84,299.8,0.204,91.5,622,14.4,5815,86,0.658
703.58,324.72,0.353,77.4,2212,23.8,4723,89,0.8537
624.43,267.22,0.311,75.6,2590,35.7,10563,99,0.8081
616.9,275.55,0.765,50.0,5000,19.3,10708,412,0.9735
639.0,294.72,0.686,59.6,3793,14.4,7376,774,0.9645
626.37,278.43,0.725,61.2,3453,38.8,10298,714,0.961
686.62,362.57,0.359,76.3,2357,5.5,0,32,0.8672
603.58,267.4,0.106,96.1,252,-2.0,11983,91,0.5257
662.98,306.9,0.508,66.5,3313,24.4,7529,335,0.9258
630.75,293.04,0.689,51.1,5000,15.0,8425,289,0.9682
652.67,319.57,0.22,88.6,991,9.8,7038,129,0.7153
621.31,269.6,0.338,87.9,753,27.1,12187,596,0.7688
647.25,302.09,0.264,84.3,1478,22.4,4818,42,0.7481
624.98,253.7,0.691,51.0,5000,14.4,12423,306,0.9645
619.29,278.49,0.099,97.3,104,7.2,9189,96,0.5265
628.23,277.95,0.468,73.3,2468,28.7,9868,225,0.8746
630.73,294.36,0.483,66.6,3371,26.5,7012,147,0.9069
651.93,307.22,0.743,63.3,3109,19.0,4075,1000,0.9686
628.65,273.86,0.351,81.2,1673,38.5,10792,200,0.7936
611.13,266.03,0.922,50.0,5000,9.3,8934,1000,0.9859
621.21,282.73,0.141,95.1,289,4.7,12085,88,0.573
603.37,297.2,0.303,90.0,562,13.1,7419,438,0.7333
642.1,319.05,0.239,90.1,733,19.5,6742,379,0.7311
594.46,255.29,0.278,94.3,17,22.4,12164,564,0.6671
617.81,252.74,0.254,88.4,926,17.6,13736,355,0.6985
639.25,303.55,0.217,93.2,350,23.5,8028,344,0.6794
686.84,328.9,0.474,72.4,2579,7.5,5742,324,0.9099
632.92,282.73,0.564,81.2,1072,34.4,10432,1000,0.8998
639.13,286.77,0.387,75.1,2438,19.2,7238,78,0.8431
637.32,281.19,0.155,92.0,695,31.2,9798,9,0.6094
616.98,287.99,0.198,94.0,283,23.4,7222,340,0.6422
626.01,270.69,0.156,94.9,283,24.6,12692,57,0.5722
634.52,313.68,0.208,92.6,454,25.7,5902,341,0.6852
654.75,294.27,0.139,95.5,245,24.5,9442,116,0.5963
642.36,309.81,0.167,93.1,498,26.4,6534,13,0.6264
658.98,303.34,0.374,80.3,1730,33.3,7155,441,0.8456
625.95,289.66,0.121,93.4,592,22.0,6764,16,0.5804
629.32,275.39,0.138,91.3,840,27.1,10216,76,0.6083
620.06,281.81,0.211,95.0,108,19.1,10755,123,0.61
641.07,273.98,0.598,56.7,4455,34.4,9673,43,0.9446
629.81,284.68,0.302,91.9,297,13.2,7676,735,0.7491
653.94,299.34,0.266,88.6,857,38.0,8421,292,0.7376
615.86,275.54,0.436,84.6,954,19.6,10693,625,0.826
624.07,285.54,0.518,68.8,2958,5.7,10788,344,0.9094
681.64,347.31,0.558,79.5,1322,21.3,0,1000,0.9274
646.19,301.62,0.304,87.1,966,13.2,7183,223,0.7558
624.41,296.57,0.316,76.9,2381,28.4,7327,17,0.8077
646.01,282.52,0.316,80.9,1818,13.5,10008,53,0.7826
660.93,315.16,0.207,94.7,163,15.5,7800,266,0.6691
611.28,291.18,0.163,91.5,750,1.1,10158,128,0.6271
658.37,327.44,0.633,52.2,5000,15.5,4764,36,0.9641
585.24,278.57,0.231,86.1,1321,-4.2,8780,82,0.6841
602.6,271.75,0.262,87.0,1104,4.2,10701,193,0.7033
681.01,325.9,0.209,93.5,325,27.6,3577,219,0.6917
600.17,240.81,0.762,59.1,3654,27.9,15000,818,0.9629
608.28,276.74,0.138,95.2,286,24.3,11573,29,0.5525
647.7,300.63,0.181,94.8,222,10.3,8004,133,0.6259
630.73,297.55,0.296,86.0,1156,19.5,5515,212,0.7533
619.32,296.09,0.167,88.6,1148,20.0,7475,36,0.654
631.55,278.08,0.654,51.7,5000,8.4,8251,349,0.9647
615.2,275.35,0.201,94.1,273,35.0,9322,217,0.6189
611.81,268.67,0.377,83.2,1323,28.8,12502,185,0.7784
649.74,313.78,0.26,91.6,449,17.8,6572,320,0.7195
623.31,261.04,0.402,74.9,2420,20.3,9688,102,0.8347
674.62,322.51,0.289,87.2,994,22.1,4123,124,0.7626
647.36,313.35,0.301,79.3,2091,-0.4,6759,53,0.805
614.85,268.99,0.369,86.8,826,17.5,9130,223,0.7518
627.62,278.86,0.372,80.9,1663,13.2,10074,140,0.8002
617.47,289.67,0.274,85.6,1267,10.0,5740,90,0.7267
645.79,303.21,0.187,89.7,938,17.2,6678,40,0.6694
626.25,276.62,0.201,85.1,1542,38.0,12382,7,0.6892
606.38,272.37,0.24,88.4,968,26.4,11486,64,0.6695
626.03,285.03,0.534,66.3,3280,14.3,8625,85,0.9106
699.81,351.59,0.364,83.1,1367,25.7,1290,199,0.841
579.65,236.12,0.688,53.4,4669,34.0,15000,83,0.9497
664.65,309.92,0.179,92.9,504,29.2,7940,511,0.6992
631.9,302.24,0.212,94.1,238,20.6,7062,193,0.6478
639.82,300.79,0.299,87.3,959,13.5,6433,293,0.7564
642.78,289.73,0.183,93.5,406,27.0,9129,70,0.623
623.61,290.22,0.286,87.3,999,23.9,9160,161,0.7269
629.02,286.57,0.247,91.8,465,29.0,10852,277,0.6826
669.38,318.98,0.589,59.7,4053,26.4,5222,112,0.9485
659.34,309.49,0.33,81.6,1678,30.5,7063,123,0.8052
612.34,250.4,0.402,82.3,1377,14.6,14092,494,0.8091
641.91,284.63,0.582,66.6,3100,33.2,8674,545,0.9347
650.72,297.23,0.207,93.9,279,22.0,7482,228,0.6564
670.05,322.37,0.626,60.1,3890,40.8,5175,680,0.9631
633.12,288.64,0.363,83.5,1321,13.1,9518,400,0.8063
647.1,265.24,0.158,94.8,293,37.4,11093,17,0.5761
637.54,264.89,0.548,65.0,3423,22.0,10624,246,0.9203
682.3,306.06,0.309,85.1,1235,13.5,7224,359,0.7988
643.93,303.91,0.372,79.5,1856,15.2,9084,234,0.832
608.12,258.32,0.726,54.0,4481,16.8,13015,535,0.9656
608.23,281.43,0.596,57.0,4427,24.2,11213,107,0.9432
617.44,298.54,0.528,58.0,4466,25.2,5648,20,0.9345
682.78,356.47,0.176,88.9,1079,14.3,362,301,0.747
656.64,285.86,0.506,70.4,2769,19.8,8890,394,0.9094
649.78,283.52,0.27,90.9,531,41.4,10396,435,0.7235
673.8,339.3,0.429,66.4,3558,37.3,4732,3,0.9113
652.88,301.79,0.291,88.3,836,24.4,7974,336,0.755
621.75,291.17,0.183,87.6,1247,20.4,7209,6,0.6657
637.83,280.59,0.755,53.7,4440,21.2,8313,447,0.9703
636.79,287.77,0.461,67.7,3277,26.1,6366,364,0.9078
635.26,267.08,0.664,51.6,5000,9.8,11872,251,0.963
630.56,282.49,0.24,88.8,903,17.4,8444,212,0.6979
588.0,294.93,0.183,94.0,328,3.3,5363,377,0.6313
631.48,286.77,0.518,55.7,4825,24.0,10752,18,0.9389
660.55,322.21,0.417,82.1,1359,26.5,4207,535,0.8598
617.91,270.47,0.674,55.6,4404,15.2,11853,67,0.952
589.09,263.35,0.363,74.2,2634,35.7,10973,195,0.8265
652.67,273.65,0.432,62.1,4156,7.7,12169,200,0.9154
637.98,293.76,0.372,77.6,2127,5.4,7525,450,0.8519
637.83,295.33,0.423,68.0,3347,22.2,6512,64,0.8885
635.43,296.36,0.141,95.4,256,30.5,8252,107,0.5893
632.01,291.16,0.702,50.8,5000,36.8,7747,326,0.9698
638.89,322.01,0.226,92.7,399,15.4,6042,160,0.6797
670.27,307.72,0.095,97.8,50,30.8,6339,107,0.5675
629.05,280.82,0.279,83.8,1513,19.6,6901,291,0.7624
664.47,323.96,0.435,73.8,2489,18.3,4490,27,0.8774
667.96,306.54,0.529,71.7,2521,28.8,10034,468,0.918
627.43,286.15,0.196,90.2,829,26.5,7843,223,0.6687
648.88,284.77,0.425,71.8,2803,4.2,7075,69,0.8708
669.38,336.27,0.53,63.4,3697,34.8,4669,158,0.9379
643.76,310.48,0.345,79.9,1883,33.8,4519,42,0.8108
601.76,254.75,0.3,87.1,975,13.7,13808,288,0.7158
638.1,293.92,0.439,77.8,1902,24.0,6118,332,0.8592
641.52,273.51,0.504,62.0,3964,24.9,9832,156,0.9226
638.52,287.05,0.59,55.8,4615,22.6,8488,125,0.9496
691.08,353.0,0.23,94.9,64,14.5,0,569,0.7435
581.96,246.89,0.173,94.7,261,13.3,13377,257,0.568
631.54,281.04,0.195,96.0,9,19.7,10052,330,0.6212
622.27,300.04,0.271,85.0,1356,31.7,5697,41,0.7337
633.54,297.73,0.313,85.7,1147,25.4,7915,375,0.7773
656.39,315.48,0.344,82.0,1578,16.3,4552,176,0.8128
589.84,254.31,0.381,76.2,2302,27.7,13479,137,0.8111
679.27,307.75,0.417,85.2,911,-8.5,5277,795,0.8583
649.27,312.85,0.211,92.5,468,31.5,6431,17,0.6578
672.62,317.58,0.215,88.6,1004,2.6,5811,65,0.7138
647.73,288.92,0.099,97.9,18,16.4,8241,141,0.5475
621.9,261.25,0.496,65.2,3537,8.8,12111,117,0.9031
629.13,275.5,0.218,88.8,968,7.1,13368,214,0.6842
637.89,307.17,0.256,81.2,1950,31.6,6803,154,0.7793
645.82,292.63,0.42,86.1,785,15.3,9135,466,0.8168
648.32,306.04,0.394,78.7,1908,23.5,8246,438,0.8575
625.53,311.54,0.45,80.1,1555,19.5,5055,444,0.8602
622.17,259.46,0.121,94.3,468,24.8,15000,138,0.5621
598.69,246.0,0.42,77.8,1963,20.8,12088,157,0.8123
621.8,307.62,0.253,93.3,232,7.2,8567,382,0.6926
644.13,254.13,0.242,85.9,1312,30.0,12746,40,0.6951
649.18,273.88,0.535,71.4,2545,15.1,11636,573,0.9134
646.48,299.1,0.3,82.8,1593,4.4,8246,234,0.7872
634.54,282.14,0.529,70.1,2743,15.7,8978,566,0.9163
627.31,272.18,0.273,90.0,638,35.0,12536,473,0.7196
630.93,322.93,0.203,95.2,100,28.5,5162,141,0.6399
617.91,258.48,0.15,96.2,115,16.5,13021,32,0.5391
640.19,289.35,0.387,87.9,626,16.5,7325,761,0.8145
631.35,276.49,0.249,87.7,1047,16.8,12574,127,0.7002
636.47,297.44,0.311,82.9,1542,40.8,7984,140,0.7777
641.66,299.14,0.593,68.2,2835,23.8,9013,719,0.9395
626.01,271.35,0.644,61.4,3660,24.3,7897,748,0.9541
653.08,311.6,0.365,76.1,2366,30.3,6404,92,0.8462
640.11,294.6,0.278,85.7,1244,22.4,7190,28,0.7332
620.31,264.29,0.099,93.7,614,17.4,12137,0,0.5433
689.62,351.17,0.283,86.5,1117,18.0,1058,173,0.7906
648.2,301.18,0.234,90.8,639,19.3,4283,252,0.7008
651.91,302.35,0.29,80.4,1959,19.6,5824,95,0.7932
646.32,320.48,0.526,65.5,3410,27.3,4765,90,0.9233
592.71,245.55,0.194,85.8,1460,20.5,12530,132,0.6579
604.68,270.78,0.093,97.5,94,27.3,11773,92,0.5079
609.26,269.71,0.739,50.1,5000,19.2,9776,587,0.9732
663.26,325.47,0.365,87.8,697,20.8,6087,309,0.7968
602.69,271.67,0.866,50.0,4919,0.0,12005,530,0.9793
704.21,334.7,0.577,64.9,3354,29.2,3236,591,0.9537
620.69,239.04,0.248,87.5,1066,23.5,14426,171,0.6769
633.17,308.63,0.17,95.8,117,30.0,5946,195,0.6166
635.44,295.94,0.865,50.0,5000,-9.0,7214,1000,0.9859
679.74,307.85,0.496,74.9,2152,40.9,6712,509,0.9054
652.58,323.84,0.353,88.9,574,18.6,4781,480,0.7949
618.82,252.42,0.353,82.2,1525,31.1,13775,263,0.7784
647.97,278.57,0.31,79.6,2018,9.6,10367,185,0.7998
623.86,265.94,0.32,90.0,514,26.1,11646,675,0.7525
688.66,337.59,0.254,93.5,196,9.5,4329,490,0.7469
606.24,279.0,0.275,90.1,622,13.8,8543,218,0.6887
615.2,269.33,0.121,96.9,98,39.1,9563,95,0.5325
635.93,291.37,0.127,96.4,145,18.1,8812,48,0.5607
652.12,312.2,0.134,94.9,341,22.2,4519,241,0.6262
630.41,261.22,0.223,93.1,345,28.7,11227,105,0.6227
646.19,295.31,0.156,92.9,570,25.0,8365,92,0.6251
648.13,303.3,0.533,54.2,5000,21.5,5135,34,0.9487
642.42,334.24,0.359,80.7,1715,23.6,2434,11,0.8173
629.42,279.0,0.392,84.4,1098,44.0,9820,459,0.8073
581.18,244.07,0.269,82.9,1659,19.4,15000,34,0.7
638.5,306.46,0.283,94.2,11,22.0,4954,658,0.7306
624.41,281.33,0.563,57.1,4503,30.5,8511,72,0.9402
629.77,267.46,0.377,81.8,1520,31.1,11331,428,0.813
675.64,336.84,0.435,82.9,1202,31.9,4191,519,0.8677
658.78,288.61,0.674,51.4,5000,26.4,6560,472,0.9709
666.49,316.57,0.583,69.9,2622,8.6,5420,619,0.937
611.05,261.67,0.166,90.9,823,36.3,10954,125,0.6134
594.36,267.74,0.946,50.0,5000,8.5,11977,1000,0.9864
634.34,290.74,0.431,64.5,3821,23.0,8477,98,0.9038
669.25,314.11,0.785,50.0,5000,12.5,5475,817,0.9833
647.38,320.53,0.149,95.6,202,19.4,6672,173,0.6216
650.49,316.35,0.62,52.4,5000,23.3,6109,18,0.9607
644.86,313.8,0.421,80.6,1566,23.2,5068,461,0.8575
655.64,310.92,0.448,75.4,2231,24.2,7694,465,0.8897
617.16,272.36,0.148,93.7,477,36.1,9724,66,0.579
614.28,272.14,0.343,91.0,303,24.5,9471,520,0.7376
650.81,311.36,0.07,97.4,165,17.6,7975,51,0.5459
641.03,294.23,0.319,85.9,1097,29.6,8171,49,0.7488
656.28,303.17,0.354,89.4,500,31.9,7755,497,0.7839
649.64,310.86,0.105,96.7,170,7.7,4108,103,0.5755
653.14,284.62,0.605,52.7,5000,26.0,8480,24,0.9556
660.01,321.91,0.665,68.1,2644,27.0,6249,939,0.9568
618.22,302.67,0.214,85.5,1459,17.0,3958,244,0.7286
632.51,288.86,0.509,70.7,2720,33.8,9112,178,0.8958
650.39,319.48,0.433,78.0,1891,18.5,6165,210,0.8616
628.92,271.52,0.24,92.4,392,21.3,8683,333,0.6694
630.83,276.38,0.576,74.4,2007,18.3,10543,593,0.9079
641.75,291.27,0.434,75.2,2285,20.2,5149,335,0.8714
644.9,290.25,0.261,91.0,542,9.0,8276,404,0.7177
677.97,334.9,0.171,91.2,772,5.6,2569,60,0.6855
635.06,264.16,0.221,88.8,967,35.9,12598,145,0.6735
678.21,333.1,0.31,80.8,1845,11.5,3923,264,0.8312
648.41,306.52,0.187,94.3,271,10.1,6456,290,0.6556
630.61,267.92,0.376,73.3,2721,-1.5,12015,95,0.8418
652.26,303.14,0.51,83.8,849,13.6,7296,1000,0.8887
661.96,315.71,0.369,76.1,2354,6.8,4408,38,0.8477
621.57,279.51,0.642,52.0,5000,36.4,10139,36,0.9569
606.1,266.82,0.549,60.3,4079,30.1,10072,78,0.9248
673.26,343.22,0.498,71.2,2676,13.1,6100,421,0.9222
670.44,309.52,0.152,93.9,430,42.5,6425,11,0.624
640.9,296.03,0.724,67.0,2634,29.8,6694,1000,0.96
646.68,313.61,0.635,73.1,2020,16.8,7379,1000,0.9429
674.05,354.08,0.371,71.8,2962,-5.0,2321,52,0.8864
660.7,292.27,0.615,59.1,4062,42.9,7456,154,0.9484
578.82,250.21,0.223,90.3,746,6.1,13352,68,0.6155
647.84,331.29,0.353,78.4,2067,3.5,5312,157,0.8406
626.74,295.4,0.228,90.9,644,30.2,6250,228,0.6821
659.38,324.01,0.296,88.1,850,44.4,4449,519,0.788
637.7,278.47,0.283,84.0,1471,33.8,9836,11,0.7375
619.32,278.5,0.538,81.2,1139,25.6,11610,1000,0.8913
604.34,276.39,0.594,75.2,1836,25.9,11541,847,0.9138
674.87,322.46,0.491,70.2,2844,28.5,4256,253,0.914
642.08,287.08,0.258,81.8,1858,27.6,9499,197,0.7701
628.5,254.4,0.721,50.4,5000,22.8,12301,240,0.9665
666.34,283.77,0.415,72.9,2680,21.0,9529,6,0.8633
624.03,283.73,0.747,50.0,5000,19.4,9435,401,0.9732
656.87,297.89,0.382,73.2,2721,12.5,6585,206,0.8682
617.0,283.25,0.326,83.5,1418,17.2,8660,101,0.7604
613.64,260.09,0.275,87.0,1059,3.1,11709,186,0.7047
617.87,296.37,0.378,73.7,2661,19.0,8985,104,0.8485
660.09,321.07,0.434,75.0,2324,10.1,4255,361,0.8874
654.74,293.38,0.446,75.5,2210,9.0,6632,286,0.8734
659.2,277.24,0.304,75.9,2559,21.8,11628,147,0.8222
647.23,298.5,0.615,58.8,4114,33.9,8974,113,0.9478
621.24,288.43,0.368,89.0,517,29.2,8357,631,0.7837
658.72,298.8,0.389,80.5,1664,4.3,6338,344,0.8402
641.37,282.61,0.384,79.3,1849,10.1,11566,377,0.8367
632.28,277.1,0.378,87.6,693,29.4,12987,289,0.7657
618.65,279.42,0.576,53.3,5000,10.2,11790,23,0.948
600.79,263.03,0.499,68.4,3079,17.8,12328,18,0.882
642.85,294.18,0.242,89.7,775,25.5,6924,168,0.6991
636.71,284.48,0.548,82.8,888,10.3,6499,800,0.8816
648.9,309.37,0.401,74.2,2534,21.1,7531,223,0.871
628.68,278.22,0.231,95.2,23,6.7,8116,626,0.6754
608.61,255.28,0.19,87.4,1247,14.0,12293,30,0.6423
642.12,265.01,0.252,89.0,840,23.2,11498,386,0.7131
644.31,288.47,0.5,62.9,3848,4.1,9615,84,0.9202
670.97,296.43,0.489,68.2,3134,24.4,3706,223,0.9124
655.51,330.3,0.185,90.6,807,19.8,2936,104,0.6887
660.01,306.17,0.67,58.5,4002,25.5,8721,374,0.9608
619.84,269.06,0.637,52.8,4898,22.2,10641,154,0.956
655.66,302.8,0.36,81.5,1608,33.6,7761,186,0.8156
596.89,249.03,0.163,94.3,347,21.3,13745,84,0.5547
645.04,319.55,0.4,71.3,2942,15.7,4753,99,0.8798
643.35,317.91,0.18,91.0,769,21.2,4375,59,0.6645
660.06,297.86,0.236,84.7,1499,25.4,6007,242,0.7554
648.2,313.7,0.229,94.8,93,20.5,5893,47,0.6467
637.5,285.34,0.271,84.8,1387,20.4,9579,94,0.738
617.09,303.41,0.25,88.3,957,13.0,6735,227,0.7162
667.18,341.56,0.306,77.6,2317,13.4,3356,96,0.8383
624.96,274.44,0.185,95.7,83,6.0,10675,266,0.6047
667.69,334.61,0.206,82.1,1961,37.5,2720,4,0.7671
639.6,309.35,0.729,64.6,2956,7.6,4786,1000,0.9654
681.45,335.03,0.175,96.3,26,13.1,3132,393,0.6761
621.66,277.7,0.518,70.1,2772,12.8,8621,210,0.8961
642.51,291.22,0.424,89.6,279,28.9,8558,761,0.8156
601.42,249.17,0.478,73.6,2395,17.1,13749,612,0.8808
641.59,279.07,0.297,85.5,1215,32.5,10741,137,0.7439
587.55,255.83,0.358,81.5,1606,13.3,12325,37,0.7558
655.49,292.59,0.308,88.1,823,22.8,8866,87,0.735
663.27,314.64,0.235,91.3,563,11.6,5069,70,0.6925
659.33,304.73,0.272,93.5,147,41.5,8384,416,0.7155
622.29,263.99,0.556,60.7,4000,8.1,9777,238,0.9315
605.77,269.79,0.498,76.8,1885,23.1,10111,569,0.8755
648.03,298.18,0.603,52.8,5000,26.3,6583,202,0.9602
640.01,286.35,0.684,59.6,3800,24.1,9466,441,0.9573
648.14,317.76,0.658,58.2,4075,18.1,5201,117,0.9557
671.53,321.58,0.342,80.3,1822,18.7,4870,277,0.837
660.18,319.51,0.167,95.5,169,20.4,4653,306,0.6514
657.66,292.93,0.71,51.4,4893,18.5,8074,427,0.9725
667.15,313.47,0.318,91.9,251,29.6,4466,482,0.7608
667.08,310.54,0.284,84.1,1456,42.1,6726,97,0.7739
609.22,267.34,0.577,61.1,3888,14.4,10709,146,0.9291
679.68,319.57,0.25,86.0,1279,6.3,4913,70,0.7539
651.07,306.35,0.35,90.5,362,19.1,6487,413,0.7672
628.32,276.84,0.263,88.2,934,45.8,8215,95,0.6969
650.1,292.86,0.606,52.7,5000,12.0,8741,149,0.959
664.32,330.8,0.659,51.6,5000,36.4,6502,487,0.9737
668.46,297.68,0.45,73.6,2482,36.8,10361,125,0.8791
672.74,292.82,0.592,57.4,4378,14.5,9771,103,0.9501
604.67,276.21,0.25,94.4,90,25.7,11420,316,0.6452
662.23,284.47,0.529,84.9,646,36.3,7755,1000,0.884
653.42,308.91,0.189,89.7,921,16.2,6462,19,0.6747
653.27,329.46,0.311,93.6,24,18.0,5952,540,0.7538
610.33,282.17,0.207,89.2,946,14.2,8921,39,0.6527
596.07,286.4,0.162,95.4,195,9.9,6869,127,0.5753
638.96,314.97,0.397,81.8,1457,13.5,6292,162,0.8228
642.6,295.8,0.218,95.6,9,7.8,6655,381,0.6574
630.44,297.89,0.337,88.8,631,20.3,5949,783,0.7953
622.53,293.38,0.457,62.6,4024,12.3,8597,32,0.9109
658.57,332.51,0.324,90.1,479,22.3,3762,410,0.7771
628.55,289.12,0.157,95.9,134,4.4,8909,117,0.5837
628.37,288.6,0.361,88.7,575,23.3,10030,697,0.7913
651.29,319.6,0.496,65.4,3515,28.3,6257,98,0.9204
622.85,258.5,0.382,79.9,1770,0.1,13766,355,0.815
662.81,299.7,0.336,80.9,1764,23.7,8053,54,0.8033
624.25,323.9,0.36,92.8,1,32.3,3316,951,0.7988
656.14,318.88,0.269,85.6,1278,7.9,7156,1,0.7481
645.89,298.07,0.219,91.3,617,36.7,8188,80,0.669
608.24,289.59,0.302,88.2,820,24.2,9347,338,0.7358
634.29,296.52,0.427,78.6,1826,12.9,7228,576,0.8671
646.06,308.4,0.872,53.4,4148,19.4,4965,1000,0.9837
661.33,309.38,0.223,92.7,401,25.6,4715,57,0.6684
638.31,304.0,0.341,72.6,2924,20.8,6039,110,0.8541
632.81,306.35,0.329,92.7,100,25.4,6327,667,0.7586
681.89,321.49,0.136,91.7,791,10.8,4595,10,0.6529
632.99,291.85,0.264,91.3,494,21.7,5802,397,0.7117
629.63,293.55,0.648,52.3,4944,5.9,9978,165,0.9616
586.42,257.96,0.27,91.8,392,18.9,12945,350,0.662
631.5,293.78,0.344,81.0,1728,11.0,10266,223,0.8056
625.65,272.1,0.212,93.2,360,12.6,11918,296,0.6445
625.87,277.08,0.35,84.0,1283,32.4,10922,330,0.7848
620.88,288.34,0.236,87.8,1067,30.9,10499,299,0.7149
652.91,316.18,0.199,95.4,84,26.1,6987,328,0.6628
630.11,291.2,0.521,65.0,3496,9.1,8423,252,0.9214
656.0,317.73,0.479,69.1,3029,16.8,6738,375,0.9164
668.49,299.95,0.216,91.1,651,32.1,7343,449,0.7191
649.37,291.74,0.443,77.8,1904,21.4,8205,465,0.8703
647.74,277.2,0.324,87.2,901,43.2,10141,576,0.7811
590.07,272.44,0.373,71.9,2933,23.9,9270,114,0.8417
617.41,271.45,0.541,72.6,2358,21.9,7515,411,0.8969
638.04,286.77,0.351,91.6,190,16.9,8167,879,0.7846
627.64,288.78,0.482,64.2,3718,21.3,9300,137,0.9129
621.61,285.69,0.334,90.5,396,18.5,10002,451,0.742
658.07,308.17,0.127,94.8,383,27.1,3443,103,0.6081
659.33,322.48,0.361,74.2,2647,29.6,4768,58,0.8593
608.3,260.12,0.139,94.4,405,12.1,11322,177,0.5678
654.37,304.92,0.308,92.0,261,6.7,7817,493,0.7476
687.53,308.36,0.204,90.2,818,1.6,6728,110,0.7008
632.97,287.81,0.501,64.3,3649,25.1,7210,105,0.9148
647.9,294.35,0.164,94.0,389,9.0,7209,98,0.6177
628.77,268.67,0.132,91.5,828,-1.5,9674,74,0.5983
682.64,324.87,0.224,90.8,674,23.9,4676,283,0.7293
636.07,293.35,0.236,89.1,880,44.9,8074,84,0.6896
640.25,285.35,0.621,70.0,2505,19.9,8738,820,0.9386
635.69,281.02,0.177,89.1,1040,28.4,9189,127,0.6606
641.85,304.35,0.468,70.6,2851,20.8,8669,235,0.8976
627.59,284.17,0.417,77.3,2046,19.0,9548,158,0.8394
658.31,313.56,0.496,83.8,896,29.2,6282,987,0.8898
640.41,314.16,0.265,86.7,1132,17.1,5175,166,0.7446
600.65,242.32,0.408,74.7,2432,22.7,15000,249,0.8338
665.01,322.83,0.454,80.2,1530,23.2,7096,432,0.8732
617.26,285.64,0.507,61.3,4055,13.3,7447,56,0.9208
617.51,270.69,0.668,51.5,5000,29.9,10034,10,0.958
625.56,262.31,0.44,73.4,2530,18.3,12788,182,0.8591
618.01,290.73,0.714,50.6,5000,12.4,6366,240,0.9686
660.97,298.68,0.286,81.5,1815,25.4,5004,102,0.7858
672.4,318.04,0.14,96.6,81,11.0,4274,186,0.6188
608.38,250.91,0.342,83.3,1406,20.3,12779,286,0.764
675.52,326.35,0.525,85.8,523,19.9,4886,1000,0.8942
650.58,301.0,0.16,91.1,812,30.9,7917,276,0.6712
645.86,319.39,0.245,85.6,1347,24.7,5068,179,0.7525
655.36,326.81,0.137,92.3,699,19.7,3655,7,0.6382
627.51,280.91,0.286,89.1,741,28.2,7123,112,0.7018
667.63,310.53,0.23,88.2,1028,33.9,5187,133,0.7247
646.01,319.57,0.264,90.0,675,25.6,5925,194,0.7247
620.22,246.13,0.265,92.1,371,20.1,14018,457,0.6768
625.42,305.26,0.52,69.2,2901,6.9,9275,449,0.9175
630.66,282.58,0.348,86.0,1006,9.3,10794,560,0.7935
644.34,285.75,0.464,65.6,3565,16.9,10474,103,0.9056
639.5,298.4,0.532,59.2,4286,13.9,7697,128,0.9378
659.57,312.68,0.409,72.3,2780,18.1,6681,49,0.8757
597.64,284.14,0.325,86.4,1011,20.6,8747,584,0.7744
653.52,304.99,0.508,71.9,2555,25.3,8505,317,0.9055
623.8,292.72,0.209,93.5,337,19.3,6294,24,0.6224
600.07,278.86,0.352,77.7,2164,24.9,8390,109,0.8041
638.41,306.66,0.16,89.5,1042,20.6,5881,50,0.6602
657.55,285.69,0.603,72.9,2132,0.2,7486,1000,0.9363
644.67,288.73,0.401,72.2,2811,10.6,6994,118,0.8665
678.45,323.46,0.278,82.8,1654,18.6,4193,206,0.8002
686.74,337.19,0.36,78.3,2057,7.9,947,115,0.8523
650.72,317.92,0.155,93.5,480,26.0,5183,193,0.647
637.34,276.1,0.659,74.2,1796,35.3,13412,1000,0.9354
661.16,292.73,0.29,85.5,1234,32.2,7071,102,0.7532
636.56,290.72,0.159,89.0,1117,17.9,10328,100,0.6587
656.16,337.12,0.308,86.4,1056,34.9,1627,139,0.778
653.02,317.97,0.242,89.9,745,21.5,4975,56,0.7046
671.66,336.11,0.307,88.7,729,16.6,3937,403,0.7877
675.21,319.65,0.392,75.2,2406,13.9,7393,143,0.8685
574.2,248.8,0.362,81.3,1632,17.0,15000,261,0.7706
637.91,292.52,0.192,95.7,61,16.1,9381,325,0.6333
611.6,264.06,0.144,96.4,99,21.7,13087,11,0.5324
662.11,314.95,0.298,82.2,1688,21.6,7237,310,0.8099
620.49,270.06,0.439,64.9,3745,20.0,12095,228,0.9014
615.78,256.31,0.158,96.2,90,24.4,14220,26,0.5398
636.58,288.82,0.263,84.8,1415,31.9,7672,40,0.7319
641.2,307.02,0.522,62.8,3809,29.5,6382,174,0.9302
647.85,316.94,0.194,96.1,9,5.2,4047,128,0.6299
632.76,290.91,0.171,92.0,645,-5.5,7073,173,0.6402
620.74,290.34,0.72,50.4,5000,29.3,8246,303,0.9702
606.02,242.57,0.154,95.7,170,6.3,14093,50,0.5309
